facility_id,facility_name,mort_ami,comp_hip_knee,readmission_hf,spending,count_of_safety_measures_better,count_of_readm_measures_worse,hospital_overall_rating
280040,THE NEBRASKA METHODIST HOSPITAL,12.3,3.0,9.5,0.99,1.0,1.0,4.0
280077,METHODIST FREMONT HEALTH,12.9,4.9,-11.8,0.98,0.0,0.0,3.0
290019,CARSON TAHOE REGIONAL MEDICAL CENTER,15.8,2.8,-26.6,0.93,0.0,0.0,2.0
290045,SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,13.2,3.5,8.6,1.16,1.0,1.0,3.0
290054,CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,13.0,3.4,22.1,1.06,1.0,3.0,1.0
300001,CONCORD HOSPITAL,12.5,3.0,15.0,0.99,2.0,0.0,3.0
300020,SOUTHERN NH MEDICAL CENTER,13.4,3.4,3.0,0.98,1.0,2.0,3.0
310015,MORRISTOWN MEDICAL CENTER,12.8,2.9,-8.1,1.06,4.0,2.0,5.0
310028,NEWTON MEDICAL CENTER,10.5,3.5,6.1,1.03,1.0,0.0,4.0
310034,RIVERVIEW MEDICAL CENTER,11.8,3.1,27.0,1.04,1.0,1.0,3.0
310054,HACKENSACK MERIDIAN MOUNTAINSIDE MEDICAL,12.9,4.6,-3.3,1.07,1.0,2.0,2.0
310070,SAINT PETER'S UNIVERSITY HOSPITAL,11.1,2.9,3.5,1.04,1.0,1.0,4.0
310086,JEFFERSON STRATFORD HOSPITAL,11.4,4.2,35.9,1.02,2.0,3.0,2.0
310111,CENTRASTATE MEDICAL CENTER,11.9,4.6,24.0,1.07,1.0,3.0,2.0
330011,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",11.7,2.7,15.9,0.92,1.0,1.0,2.0
330013,ALBANY MEDICAL CENTER HOSPITAL,12.5,3.7,-9.4,1.01,2.0,2.0,2.0
330024,MOUNT SINAI HOSPITAL,12.0,3.3,5.5,0.99,3.0,2.0,3.0
330059,MONTEFIORE MEDICAL CENTER,10.2,3.7,-6.7,1.01,1.0,2.0,2.0
330090,ARNOT OGDEN MEDICAL CENTER,13.7,3.3,-12.6,0.93,1.0,1.0,1.0
330107,PECONIC BAY MEDICAL CENTER,11.2,1.8,2.1,0.98,2.0,2.0,3.0
330119,LENOX HILL HOSPITAL,11.8,3.3,1.4,1.04,1.0,1.0,4.0
330126,GARNET HEALTH MEDICAL CENTER,10.2,3.1,17.5,1.03,0.0,2.0,3.0
330140,ST JOSEPH'S HOSPITAL HEALTH CENTER,12.9,3.0,47.0,0.96,4.0,3.0,2.0
330203,CROUSE HOSPITAL,11.2,2.8,29.9,0.97,3.0,2.0,2.0
330205,ST ANTHONY COMMUNITY HOSPITAL,12.2,3.2,-26.6,1.0,0.0,0.0,5.0
330222,SARATOGA HOSPITAL,12.2,3.6,-5.1,0.89,2.0,0.0,3.0
330226,UNITY HOSPITAL,12.2,3.7,32.7,0.94,4.0,1.0,2.0
330234,WESTCHESTER MEDICAL CENTER,12.5,4.1,35.9,1.1,1.0,4.0,1.0
330304,WHITE PLAINS HOSPITAL CENTER,11.8,2.0,18.2,1.01,3.0,1.0,5.0
340002,MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,9.8,2.6,-18.9,1.0,4.0,0.0,4.0
340004,HIGH POINT REGIONAL HEALTH SYSTEM,13.5,4.1,3.0,0.97,1.0,0.0,2.0
340017,MARGARET R PARDEE MEMORIAL HOSPITAL,11.4,4.0,-34.9,0.98,1.0,0.0,5.0
340021,ATRIUM HEALTH CLEVELAND,13.8,4.1,5.4,0.96,1.0,0.0,3.0
340053,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,11.8,2.8,21.4,0.99,2.0,2.0,4.0
340069,"WAKEMED, RALEIGH CAMPUS",13.7,3.8,15.8,1.01,3.0,2.0,4.0
340098,ATRIUM HEALTH PINEVILLE,14.3,4.9,-10.6,0.94,3.0,1.0,3.0
340129,LAKE NORMAN REGIONAL MEDICAL CENTER,13.4,3.3,3.6,0.93,1.0,1.0,2.0
340130,ATRIUM HEALTH UNION,12.1,3.8,30.6,0.94,1.0,2.0,3.0
340143,CATAWBA VALLEY MEDICAL CENTER,15.7,2.9,-37.1,0.97,1.0,0.0,4.0
340158,NOVANT HEALTH BRUNSWICK MEDICAL CENTER,12.1,3.8,0.8,0.93,1.0,1.0,4.0
340173,"WAKEMED, CARY HOSPITAL",12.9,3.0,-10.4,0.97,1.0,0.0,5.0
350070,ESSENTIA HEALTH,12.8,3.6,-0.8,1.02,1.0,0.0,4.0
360008,SOUTHERN OHIO MEDICAL CENTER,16.5,3.7,3.9,0.99,1.0,0.0,4.0
360017,GRANT MEDICAL CENTER,12.8,4.2,15.9,0.98,1.0,0.0,3.0
360035,MOUNT CARMEL EAST & WEST,13.7,3.7,4.9,0.99,1.0,1.0,2.0
360056,MERCY HEALTH - FAIRFIELD HOSPITAL,13.2,4.1,-9.2,0.98,1.0,1.0,3.0
360059,METROHEALTH SYSTEM,12.7,3.6,26.6,0.98,2.0,1.0,3.0
360072,FAIRFIELD MEDICAL CENTER,15.8,5.7,17.1,0.93,0.0,1.0,1.0
360077,FAIRVIEW HOSPITAL,9.7,4.8,-8.1,0.98,1.0,2.0,5.0
360085,OHIO STATE UNIVERSITY STATE HEALTH SYSTEM,14.6,3.8,9.1,0.99,2.0,0.0,4.0
360098,LAKE HEALTH,14.0,3.3,8.2,1.02,3.0,1.0,3.0
360123,UH ST JOHN MEDICAL CENTER,12.2,4.3,4.0,1.06,2.0,0.0,5.0
360125,ASHTABULA COUNTY MEDICAL CENTER,12.5,3.1,15.0,1.02,1.0,1.0,3.0
360137,UH CLEVELAND MEDICAL CENTER,12.3,2.9,18.2,1.02,3.0,1.0,3.0
360211,TRINITY MEDICAL CTR EAST &TRINITY MEDICAL CTR WEST,13.6,3.8,6.6,1.03,2.0,0.0,2.0
360218,LICKING MEMORIAL HOSPITAL,12.6,3.0,-3.4,0.98,0.0,0.0,3.0
360234,MERCY HEALTH - WEST HOSPITAL,13.2,3.0,-7.3,0.99,1.0,0.0,4.0
360276,HMHP ST ELIZABETH BOARDMAN HEALTH CENTER,12.2,3.3,-18.5,1.01,1.0,0.0,3.0
370001,HILLCREST MEDICAL CENTER,13.0,3.4,-0.6,1.02,4.0,0.0,2.0
370018,ASCENSION ST JOHN JANE PHILLIPS,13.9,4.0,-11.3,1.0,1.0,0.0,4.0
370034,MCALESTER REGIONAL HEALTH CENTER,12.2,3.2,-16.3,0.94,0.0,0.0,3.0
370049,STILLWATER MEDICAL CENTER,13.7,2.4,27.6,1.0,1.0,0.0,4.0
370056,COMANCHE COUNTY MEMORIAL HOSPITAL,13.5,5.1,17.3,0.97,1.0,2.0,1.0
380009,OHSU HOSPITAL AND CLINICS,13.6,2.6,-8.2,0.96,1.0,0.0,4.0
380017,LEGACY GOOD SAMARITAN MEDICAL CENTER,12.6,3.3,-10.5,0.93,2.0,0.0,5.0
380020,MCKENZIE-WILLAMETTE MEDICAL CENTER,12.2,2.9,-6.9,0.84,0.0,0.0,4.0
380047,ST CHARLES MEDICAL CENTER - BEND,12.8,3.4,-34.6,0.89,1.0,0.0,4.0
390012,LANSDALE HOSPITAL,13.2,4.5,9.6,0.99,0.0,2.0,1.0
390030,SCHUYLKILL MEDICAL CENTER - SOUTH JACKSON STREET,12.1,3.8,1.2,1.04,1.0,1.0,3.0
390036,HERITAGE VALLEY BEAVER,11.4,3.5,4.5,1.13,0.0,1.0,3.0
390050,ALLEGHENY GENERAL HOSPITAL,13.0,4.6,30.1,1.04,3.0,2.0,3.0
390067,UPMC PINNACLE HOSPITALS,13.8,2.7,-8.8,1.04,3.0,1.0,5.0
390073,UPMC ALTOONA,13.4,3.6,-9.5,1.12,1.0,1.0,2.0
390086,PENN HIGHLANDS DUBOIS,15.0,4.0,-2.2,0.99,1.0,0.0,2.0
390097,HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,12.9,2.8,4.0,0.95,2.0,2.0,3.0
390107,UPMC PASSAVANT,12.2,2.6,-5.9,0.98,2.0,0.0,4.0
390113,MEADVILLE MEDICAL CENTER,15.1,2.8,1.2,0.93,0.0,0.0,3.0
390115,JEFFERSON HEALTH- NORTHEAST,14.3,3.2,40.7,1.05,2.0,4.0,1.0
390123,POTTSTOWN HOSPITAL,10.9,3.3,7.3,1.04,0.0,0.0,3.0
390142,ALBERT EINSTEIN MEDICAL CENTER,13.0,4.3,7.5,0.99,1.0,0.0,3.0
390164,UPMC PRESBYTERIAN SHADYSIDE,11.9,2.7,-20.2,1.0,1.0,2.0,4.0
390174,THOMAS JEFFERSON UNIVERSITY HOSPITAL,11.1,4.1,48.6,1.01,2.0,2.0,4.0
390223,PENN PRESBYTERIAN MEDICAL CENTER,12.0,2.9,8.3,0.98,1.0,1.0,5.0
390270,GEISINGER WYOMING VALLEY MEDICAL CENTER,10.9,3.6,-1.7,0.98,2.0,0.0,3.0
390326,ST LUKE'S HOSPITAL - ANDERSON CAMPUS,12.2,3.2,-5.6,0.92,3.0,1.0,5.0
410007,RHODE ISLAND HOSPITAL,13.3,3.3,19.1,1.03,2.0,2.0,3.0
